name,id,origin date,status,type,street,city,state,zip
"1ST COMMAND DOG TRAINING AND GROOMING, LLC",0743194,2003-03-18,Active,Domestic Limited Liability Company,18 SAN RICO DRIVE,MANCHESTER,CT,06040
1ST COMMAND DOG TRAINING & GROOMING,1016320,2010-09-24,Active,General Partnership,18 SANRICO DR.,MANCHESTER,CT,06040
"3 DOG DESIGN, LLC",0797730,2004-09-30,Active,Domestic Limited Liability Company,121 FERRIS HILL ROAD,NEW CANAAN,CT,06840
"3 DOGS PAINTING, LLC",1206514,2016-05-09,Active,Domestic Limited Liability Company,"781 BOSTON POST RD, UNIT 844",MADISON,CT,06443
4 DOG CONSTRUCTION LLC,1117672,2013-09-12,Active,Domestic Limited Liability Company,24 EAST AVE STE 142,NEW CANAAN,CT,06840
"ABC OBEDIENCE DOG TRAINING & PET SUPPLIES, LLC",0703234,2002-01-25,Active,Domestic Limited Liability Company,"2458 BOSTON POST ROAD, ABC OBEDIENCE",GUILFORD,CT,06437
ACTIVE DOG LLC,1106032,2013-05-06,Active,Domestic Limited Liability Company,15 WEDDINGTON LANE,WESTON,CT,06883
"ADDICUS LEGACY DOG RESCUE, INC.",1211434,2016-06-30,Active,Corporation,,,,
"A DOG'S LIFE, LLC",0940153,2008-08-14,Active,Domestic Limited Liability Company,23 CARRIAGE DRIVE,OXFORD,CT,06478
"A DOG'S WORLD, LLC",1180827,2015-07-13,Active,Domestic Limited Liability Company,396 SALEM TPKE.,BOZRAH,CT,06334
"ADOPT - A - DOG, INC.",0122795,1981-09-25,Active,Corporation,23 COX AVENUE,ARMONK,NY,10504
"ADVANCED DOG BEHAVIOR SOLUTIONS, LLC",0965865,2009-03-12,Active,Domestic Limited Liability Company,132 COMPO ROAD SOUTH,WESTPORT,CT,06880
A HAIR OF THE DOG LLC,1027939,2011-02-07,Active,Domestic Limited Liability Company,51 WHITFIELD STREET,GUILFORD,CT,06347
AIMEE'S HAIR OF THE DOG LLC,0773764,2004-02-04,Active,Domestic Limited Liability Company,51 WHITFIELD ST,GUILFORD,CT,
A J HOT DOG LLC,1165485,2015-01-08,Active,Domestic Limited Liability Company,115 FRENCH RD,BOLTON,CT,06043
"ALERT DOGS FOR LIFE, INC.",1091931,2012-12-13,Active,Corporation,240 FAIR OAK DR.,FAIRFIELD,CT,06824
ALL ABOUT THE DOGS LLC,1202858,2016-04-11,Active,Domestic Limited Liability Company,88 POST ROAD,FAIRFIELD,CT,06824
ALL DOGGED OUT LLC,0958931,2009-01-02,Active,Domestic Limited Liability Company,699 BLOOMFIELD AVE,BLOOMFIELD,CT,06002
"ALPHA DOG DESIGN, LLC",1099353,2013-03-11,Active,Domestic Limited Liability Company,577 BERKSHIRE RD,SOUTHBURY,CT,06488
"AL'S HOT DOG STAND, LLC",0618058,1999-04-07,Active,Domestic Limited Liability Company,248 S. MAIN STREET,NAUGATUCK,CT,06770
"A MAN AND HIS DOG, LLC",1121569,2013-10-18,Active,Domestic Limited Liability Company,4 CHARTER OAK LANE,GREENWICH,CT,06830
"AMERICAN HUNTING DOG CLUB, INC. THE",0286100,1993-05-07,Active,Corporation,16 VIRGINIA RAIL DR,MARLBOROUGH,CT,06447
"ANTHONY'S NEW YORK HOT DOGS & MORE, INC.",1062010,2012-02-08,Active,Corporation,11 MOUNT TOM RD,NEW ROCHELLE,NY,10805
"APPLE DOG IMPORTS, LLC",0698653,2001-12-11,Active,Domestic Limited Liability Company,"90 MAIN ST., SUITE 201",CENTERBROOK,CT,06409
